Year,Ceremony,Award,Name,Film
1964,37,Sound,My Fair Lady,"Warner Brothers Studio Sound Department, George R. Groves, Sound Director"
1964,37,Sound Effects,Goldfinger,Norman Wanstall
1964,37,Special Visual Effects,Mary Poppins,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske"
1964,37,"Writing (Screenplay, Based on Material from Another Medium)",Becket,Edward Anhalt
1964,37,"Writing (Story and Screenplay, Written Directly for the Screen)",Father Goose,"Story by S. H. Barnett; Screenplay by Peter Stone, Frank Tarloff"
1964,37,Honorary Award,William Tuttle,7 Faces of Dr. Lao
1965,38,Actor,Lee Marvin,Cat Ballou
1965,38,Actor in a Supporting Role,Martin Balsam,A Thousand Clowns
1965,38,Actress,Julie Christie,Darling
1965,38,Actress in a Supporting Role,Shelley Winters,A Patch of Blue
1965,38,Art Direction (Black and White),Ship of Fools,Art Direction: Robert Clatworthy; Set Decoration: Joseph Kish
1965,38,Art Direction (Color),Doctor Zhivago,"Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni"
1965,38,Cinematography (Black and White),Ship of Fools,Ernest Laszlo
1965,38,Cinematography (Color),Doctor Zhivago,Freddie Young
1965,38,Costume Design (Black and White),Darling,Julie Harris
1965,38,Costume Design (Color),Doctor Zhivago,Phyllis Dalton
1965,38,Directing,The Sound of Music,Robert Wise
1965,38,Documentary (Feature),The Eleanor Roosevelt Story,"Sidney Glazier, Producer"
1965,38,Documentary (Short Subject),To Be Alive!,"Francis Thompson, Producer"
1965,38,Film Editing,The Sound of Music,William Reynolds
1965,38,Foreign Language Film,The Shop on Main Street,Czechoslovakia
1965,38,"Music (Music Score, Substantially Original)",Doctor Zhivago,Maurice Jarre
1965,38,"Music (Scoring of Music, Adaptation or Treatment)",The Sound of Music,Irwin Kostal
1965,38,Music (Song),"""The Shadow Of Your Smile"" from The Sandpiper",Music by Johnny Mandel; Lyrics by Paul Francis Webster
1965,38,Best Picture,The Sound of Music,"Robert Wise, Producer"
1965,38,Short Subject (Cartoon),The Dot and the Line,"Chuck Jones and Les Goldman, Producers"
1965,38,Short Subject (Live Action),The Chicken (Le Poulet),"Claude Berri, Producer"
1965,38,Sound,The Sound of Music,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
1965,38,Sound Effects,The Great Race,Tregoweth Brown
1965,38,Special Visual Effects,Thunderball,John Stears
1965,38,"Writing (Screenplay, Based on Material from Another Medium)",Doctor Zhivago,Robert Bolt
1965,38,"Writing (Story and Screenplay, Written Directly for the Screen)",Darling,Frederic Raphael
1966,39,Actor,Paul Scofield,A Man for All Seasons
1966,39,Actor in a Supporting Role,Walter Matthau,The Fortune Cookie
1966,39,Actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1966,39,Actress in a Supporting Role,Sandy Dennis,Who's Afraid of Virginia Woolf?
1966,39,Art Direction (Black and White),Who's Afraid of Virginia Woolf?,Art Direction: Richard Sylbert; Set Decoration: George James Hopkins
1966,39,Art Direction (Color),Fantastic Voyage,"Art Direction: Jack Martin Smith, Dale Hennesy; Set Decoration: Walter M. Scott, Stuart A. Reiss"
1966,39,Cinematography (Black and White),Who's Afraid of Virginia Woolf?,Haskell Wexler
1966,39,Cinematography (Color),A Man for All Seasons,Ted Moore
1966,39,Costume Design (Black and White),Who's Afraid of Virginia Woolf?,Irene Sharaff
1966,39,Costume Design (Color),A Man for All Seasons,"Elizabeth Haffenden, Joan Bridge"
1966,39,Directing,A Man for All Seasons,Fred Zinnemann
1966,39,Documentary (Feature),The War Game,"Peter Watkins, Producer"
1966,39,Documentary (Short Subject),A Year toward Tomorrow,"Edmond A. Levy, Producer"
1966,39,Film Editing,Grand Prix,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo"
1966,39,Foreign Language Film,A Man and a Woman,France
1966,39,Music (Original Music Score),Born Free,John Barry
1966,39,"Music (Scoring of Music, Adaptation or Treatment)",A Funny Thing Happened on the Way to the Forum,Ken Thorne
1966,39,Music (Song),"""Born Free"" from Born Free",Music by John Barry; Lyrics by Don Black
1966,39,Best Picture,A Man for All Seasons,"Fred Zinnemann, Producer"
1966,39,Short Subject (Cartoon),Herb Alpert and the Tijuana Brass Double Feature,"John Hubley and Faith Hubley, Producers"
1966,39,Short Subject (Live Action),Wild Wings,"Edgar Anstey, Producer"
1966,39,Sound,Grand Prix,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
1966,39,Sound Effects,Grand Prix,Gordon Daniel
1966,39,Special Visual Effects,Fantastic Voyage,Art Cruickshank
1966,39,"Writing (Screenplay, Based on Material from Another Medium)",A Man for All Seasons,Robert Bolt
1966,39,"Writing (Story and Screenplay, Written Directly for the Screen)",A Man and a Woman,"Story by Claude Lelouch; Screenplay by Claude Lelouch, Pierre Uytterhoeven"
1967,40,Actor,Rod Steiger,In the Heat of the Night
1967,40,Actor in a Supporting Role,George Kennedy,Cool Hand Luke
1967,40,Actress,Katharine Hepburn,Guess Who's Coming to Dinner
1967,40,Actress in a Supporting Role,Estelle Parsons,Bonnie and Clyde
1967,40,Art Direction,Camelot,"Art Direction: John Truscott, Edward Carrere; Set Decoration: John W. Brown"
1967,40,Cinematography,Bonnie and Clyde,Burnett Guffey
1967,40,Costume Design,Camelot,John Truscott
1967,40,Directing,The Graduate,Mike Nichols
1967,40,Documentary (Feature),The Anderson Platoon,"Pierre Schoendoerffer, Producer"
1967,40,Documentary (Short Subject),The Redwoods,"Mark Harris and Trevor Greenwood, Producers"
1967,40,Film Editing,In the Heat of the Night,Hal Ashby
1967,40,Foreign Language Film,Closely Watched Trains,Czechoslovakia
1967,40,Music (Original Music Score),Thoroughly Modern Millie,Elmer Bernstein
1967,40,"Music (Scoring of Music, Adaptation or Treatment)",Camelot,"Alfred Newman, Ken Darby"
1967,40,Music (Song),"""Talk To The Animals"" from Doctor Dolittle",Music and Lyrics by Leslie Bricusse
1967,40,Best Picture,In the Heat of the Night,"Walter Mirisch, Producer"
