Year,Ceremony,Award,Name,Film
1927/1928,1,Actor,Emil Jannings,The Last Command
1927/1928,1,Actress,Janet Gaynor,7th Heaven
1927/1928,1,Art Direction,William Cameron Menzies,The Dove; Tempest
1927/1928,1,Cinematography,Charles Rosher,Sunrise
1927/1928,1,Cinematography,Karl Struss,Sunrise
1927/1928,1,Directing (Comedy Picture),Lewis Milestone,Two Arabian Knights
1927/1928,1,Directing (Dramatic Picture),Frank Borzage,7th Heaven
1927/1928,1,Engineering Effects,Roy Pomeroy,Wings
1927/1928,1,Outstanding Picture,Paramount Famous Lasky,Wings
1927/1928,1,Unique and Artistic Picture,Fox,Sunrise
1927/1928,1,Writing (Adaptation),Benjamin Glazer,7th Heaven
1927/1928,1,Writing (Original Story),Ben Hecht,Underworld
1927/1928,1,Special Award,Warner Brothers,The Jazz Singer
1927/1928,1,Special Award,Charles Chaplin,The Circus
1928/1929,2,Actor,Warner Baxter,In Old Arizona
1928/1929,2,Actress,Mary Pickford,Coquette
1928/1929,2,Art Direction,Cedric Gibbons,The Bridge of San Luis Rey
1928/1929,2,Cinematography,Clyde De Vinna,White Shadows in the South Seas
1928/1929,2,Directing,Frank Lloyd,The Divine Lady
1928/1929,2,Outstanding Picture,Metro-Goldwyn-Mayer,The Broadway Melody
1928/1929,2,Writing,Hans Kraly,The Patriot
1929/1930,3,Actor,George Arliss,Disraeli
1929/1930,3,Actress,Norma Shearer,The Divorcee
1929/1930,3,Art Direction,King of Jazz,Herman Rosse
1929/1930,3,Cinematography,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer"
1929/1930,3,Directing,Lewis Milestone,All Quiet on the Western Front
1929/1930,3,Outstanding Production,All Quiet on the Western Front,Universal
1929/1930,3,Sound Recording,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/1930,3,Writing,The Big House,Frances Marion
1930/1931,4,Actor,Lionel Barrymore,A Free Soul
1930/1931,4,Actress,Marie Dressler,Min and Bill
1930/1931,4,Art Direction,Cimarron,Max Rée
1930/1931,4,Cinematography,Tabu,Floyd Crosby
1930/1931,4,Directing,Skippy,Norman Taurog
1930/1931,4,Outstanding Production,Cimarron,RKO Radio
1930/1931,4,Writing (Adaptation),Cimarron,Howard Estabrook
1930/1931,4,Writing (Original Story),The Dawn Patrol,John Monk Saunders
1931/1932,5,Actor,Wallace Beery,The Champ
1931/1932,5,Actor,Fredric March,Dr. Jekyll and Mr. Hyde
1931/1932,5,Actress,Helen Hayes,The Sin of Madelon Claudet
1931/1932,5,Art Direction,Transatlantic,Gordon Wiles
1931/1932,5,Cinematography,Shanghai Express,Lee Garmes
1931/1932,5,Directing,Bad Girl,Frank Borzage
1931/1932,5,Outstanding Production,Grand Hotel,Metro-Goldwyn-Mayer
1931/1932,5,Short Subject (Cartoon),Flowers and Trees,"Walt Disney, Producer"
1931/1932,5,Short Subject (Comedy),The Music Box,"Hal Roach, Producer"
1931/1932,5,Short Subject (Novelty),Wrestling Swordfish,"Mack Sennett, Producer"
1931/1932,5,Writing (Adaptation),Bad Girl,Edwin Burke
1931/1932,5,Writing (Original Story),The Champ,Frances Marion
1931/1932,5,Special Award,Walt Disney,“Mickey Mouse”
1932/1933,6,Actor,Charles Laughton,The Private Life of Henry VIII
1932/1933,6,Actress,Katharine Hepburn,Morning Glory
1932/1933,6,Art Direction,Cavalcade,William S. Darling
1932/1933,6,Cinematography,A Farewell to Arms,"Charles Bryant Lang, Jr."
1932/1933,6,Directing,Cavalcade,Frank Lloyd
1932/1933,6,Outstanding Production,Cavalcade,Fox
1932/1933,6,Short Subject (Cartoon),The Three Little Pigs,"Walt Disney, Producer"
1932/1933,6,Short Subject (Comedy),So This Is Harris,"Louis Brock, Producer"
1932/1933,6,Short Subject (Novelty),Krakatoa,"Joe Rock, Producer"
1932/1933,6,Sound Recording,A Farewell to Arms,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/1933,6,Writing (Adaptation),Little Women,"Victor Heerman, Sarah Y. Mason"
1932/1933,6,Writing (Original Story),One Way Passage,Robert Lord
1934,7,Actor,Clark Gable,It Happened One Night
1934,7,Actress,Claudette Colbert,It Happened One Night
1934,7,Art Direction,The Merry Widow,"Cedric Gibbons, Fredric Hope"
1934,7,Assistant Director,Viva Villa!,John Waters
1934,7,Cinematography,Cleopatra,Victor Milner
1934,7,Directing,It Happened One Night,Frank Capra
1934,7,Film Editing,Eskimo,Conrad Nervig
1934,7,Music (Scoring),One Night of Love,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,7,Music (Song),"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934,7,Outstanding Production,It Happened One Night,Columbia
1934,7,Short Subject (Cartoon),The Tortoise and the Hare,"Walt Disney, Producer"
1934,7,Short Subject (Comedy),La Cucaracha,"Kenneth Macgowan, Producer"
1934,7,Short Subject (Novelty),City of Wax,"Stacy Woodard and Horace Woodard, Producers"
1934,7,Sound Recording,One Night of Love,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,7,Writing (Adaptation),It Happened One Night,Robert Riskin
1934,7,Writing (Original Story),Manhattan Melodrama,Arthur Caesar
1935,8,Actor,Victor McLaglen,The Informer
1935,8,Actress,Bette Davis,Dangerous
1935,8,Art Direction,The Dark Angel,Richard Day
1935,8,Assistant Director,The Lives of a Bengal Lancer,"Clem Beauchamp, Paul Wing"
1935,8,Cinematography,A Midsummer Night's Dream,Hal Mohr
1935,8,Dance Direction,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
1935,8,Directing,The Informer,John Ford
1935,8,Film Editing,A Midsummer Night's Dream,Ralph Dawson
1935,8,Music (Scoring),The Informer,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,8,Music (Song),"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin
1935,8,Outstanding Production,Mutiny on the Bounty,Metro-Goldwyn-Mayer
1935,8,Short Subject (Cartoon),Three Orphan Kittens,"Walt Disney, Producer"
1935,8,Short Subject (Comedy),How to Sleep,"Jack Chertok, Producer"
1935,8,Short Subject (Novelty),Wings over Mt. Everest,Gaumont British and Skibo Productions
1935,8,Sound Recording,Naughty Marietta,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,8,Writing (Original Story),The Scoundrel,"Ben Hecht, Charles MacArthur"
1935,8,Writing (Screenplay),The Informer,Dudley Nichols
1936,9,Actor,Paul Muni,The Story of Louis Pasteur
1936,9,Actor in a Supporting Role,Walter Brennan,Come and Get It
1936,9,Actress,Luise Rainer,The Great Ziegfeld
1936,9,Actress in a Supporting Role,Gale Sondergaard,Anthony Adverse
1936,9,Art Direction,Dodsworth,Richard Day
1936,9,Assistant Director,The Charge of the Light Brigade,Jack Sullivan
1936,9,Cinematography,Anthony Adverse,Gaetano Gaudio
1936,9,Dance Direction,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
1936,9,Directing,Mr. Deeds Goes to Town,Frank Capra
1936,9,Film Editing,Anthony Adverse,Ralph Dawson
1936,9,Music (Scoring),Anthony Adverse,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,9,Music (Song),"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields
1936,9,Outstanding Production,The Great Ziegfeld,Metro-Goldwyn-Mayer
1936,9,Short Subject (Cartoon),The Country Cousin,"Walt Disney, Producer"
1936,9,Short Subject (Color),Give Me Liberty,Warner Brothers
1936,9,Short Subject (One Reel),Bored of Education,"Hal Roach, Producer"
1936,9,Short Subject (Two Reel),The Public Pays,Metro-Goldwyn-Mayer
1936,9,Sound Recording,San Francisco,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1936,9,Writing (Original Story),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney"
1936,9,Writing (Screenplay),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney"
1936,9,Special Award,W. Howard Greene and Harold Rosson,The Garden of Allah
1937,10,Actor,Spencer Tracy,Captains Courageous
1937,10,Actor in a Supporting Role,Joseph Schildkraut,The Life of Emile Zola
1937,10,Actress,Luise Rainer,The Good Earth
1937,10,Actress in a Supporting Role,Alice Brady,In Old Chicago
1937,10,Art Direction,Lost Horizon,Stephen Goosson
1937,10,Assistant Director,In Old Chicago,Robert Webb
1937,10,Cinematography,The Good Earth,Karl Freund
1937,10,Dance Direction,Hermes Pan,Fun House number from A Damsel in Distress
1937,10,Directing,The Awful Truth,Leo McCarey
1937,10,Film Editing,Lost Horizon,"Gene Havlick, Gene Milford"
1937,10,Music (Scoring),One Hundred Men and a Girl,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
1937,10,Music (Song),"""Sweet Leilani"" from Waikiki Wedding",Music and Lyrics by Harry Owens
1937,10,Outstanding Production,The Life of Emile Zola,Warner Brothers
1937,10,Short Subject (Cartoon),The Old Mill,"Walt Disney, Producer"
1937,10,Short Subject (Color),Penny Wisdom,"Pete Smith, Producer"
1937,10,Short Subject (One Reel),The Private Life of the Gannets,Skibo Productions
1937,10,Short Subject (Two Reel),Torture Money,Metro-Goldwyn-Mayer
1937,10,Sound Recording,The Hurricane,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1937,10,Writing (Original Story),A Star Is Born,"William A. Wellman, Robert Carson"
1937,10,Writing (Screenplay),The Life of Emile Zola,"Norman Reilly Raine, Heinz Herald, Geza Herczeg"
1937,10,Special Award,Edgar Bergen,"""Charlie McCarthy"""
1937,10,Special Award,W. Howard Greene,A Star Is Born
1938,11,Actor,Spencer Tracy,Boys Town
1938,11,Actor in a Supporting Role,Walter Brennan,Kentucky
1938,11,Actress,Bette Davis,Jezebel
1938,11,Actress in a Supporting Role,Fay Bainter,Jezebel
1938,11,Art Direction,The Adventures of Robin Hood,Carl J. Weyl
1938,11,Cinematography,The Great Waltz,Joseph Ruttenberg
1938,11,Directing,You Can't Take It with You,Frank Capra
1938,11,Film Editing,The Adventures of Robin Hood,Ralph Dawson
1938,11,Music (Original Score),The Adventures of Robin Hood,Erich Wolfgang Korngold
1938,11,Music (Scoring),Alexander's Ragtime Band,Alfred Newman
1938,11,Music (Song),"""Thanks For The Memory"" from The Big Broadcast of 1938",Music by Ralph Rainger; Lyrics by Leo Robin
1938,11,Outstanding Production,You Can't Take It with You,Columbia
1938,11,Short Subject (Cartoon),Ferdinand the Bull,"Walt Disney, Producer"
1938,11,Short Subject (One Reel),That Mothers Might Live,Metro-Goldwyn-Mayer
1938,11,Short Subject (Two Reel),Declaration of Independence,Warner Brothers
1938,11,Sound Recording,The Cowboy and the Lady,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1938,11,Writing (Original Story),Boys Town,"Dore Schary, Eleanore Griffin"
1938,11,Writing (Screenplay),Pygmalion,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple"
1938,11,Special Award,Walt Disney,Snow White and the Seven Dwarfs
1938,11,Special Award,Oliver Marsh and Allen Davey,Sweethearts
1939,12,Actor,Robert Donat,"Goodbye, Mr. Chips"
1939,12,Actor in a Supporting Role,Thomas Mitchell,Stagecoach
1939,12,Actress,Vivien Leigh,Gone with the Wind
1939,12,Actress in a Supporting Role,Hattie McDaniel,Gone with the Wind
1939,12,Art Direction,Gone with the Wind,Lyle Wheeler
1939,12,Cinematography (Black and White),Wuthering Heights,Gregg Toland
1939,12,Cinematography (Color),Gone with the Wind,"Ernest Haller, Ray Rennahan"
1939,12,Directing,Gone with the Wind,Victor Fleming
1939,12,Film Editing,Gone with the Wind,"Hal C. Kern, James E. Newcom"
1939,12,Music (Original Score),The Wizard of Oz,Herbert Stothart
1939,12,Music (Scoring),Stagecoach,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken"
1939,12,Music (Song),"""Over The Rainbow"" from The Wizard of Oz",Music by Harold Arlen; Lyrics by E. Y. Harburg
1939,12,Outstanding Production,Gone with the Wind,Selznick International Pictures
1939,12,Short Subject (Cartoon),The Ugly Duckling,"Walt Disney, Producer"
1939,12,Short Subject (One Reel),Busy Little Bears,Paramount
1939,12,Short Subject (Two Reel),Sons of Liberty,Warner Brothers
1939,12,Sound Recording,When Tomorrow Comes,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
1939,12,Special Effects,The Rains Came,"Fred Sersen, E. H. Hansen"
1939,12,Writing (Original Story),Mr. Smith Goes to Washington,Lewis R. Foster
1939,12,Writing (Screenplay),Gone with the Wind,Sidney Howard
1939,12,Special Award,William Cameron Menzies,Gone with the Wind
1940,13,Actor,James Stewart,The Philadelphia Story
1940,13,Actor in a Supporting Role,Walter Brennan,The Westerner
1940,13,Actress,Ginger Rogers,Kitty Foyle
1940,13,Actress in a Supporting Role,Jane Darwell,The Grapes of Wrath
1940,13,Art Direction (Black and White),Pride and Prejudice,"Cedric Gibbons, Paul Groesse"
1940,13,Art Direction (Color),The Thief of Bagdad,Vincent Korda
1940,13,Cinematography (Black and White),Rebecca,George Barnes
1940,13,Cinematography (Color),The Thief of Bagdad,Georges Périnal
1940,13,Directing,The Grapes of Wrath,John Ford
1940,13,Film Editing,North West Mounted Police,Anne Bauchens
1940,13,Music (Original Score),Pinocchio,"Leigh Harline, Paul J. Smith, Ned Washington"
1940,13,Music (Scoring),Tin Pan Alley,Alfred Newman
1940,13,Music (Song),"""When You Wish Upon A Star"" from Pinocchio",Music by Leigh Harline; Lyrics by Ned Washington
1940,13,Outstanding Production,Rebecca,Selznick International Pictures
1940,13,Short Subject (Cartoon),The Milky Way,Metro-Goldwyn-Mayer
1940,13,Short Subject (One Reel),Quicker 'N a Wink,"Pete Smith, Producer"
1940,13,Short Subject (Two Reel),"Teddy, the Rough Rider ",Warner Brothers
1940,13,Sound Recording,Strike Up the Band,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1940,13,Special Effects,The Thief of Bagdad,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney
1940,13,Writing (Original Screenplay),The Great McGinty,Preston Sturges
1940,13,Writing (Original Story),"Arise, My Love ","Benjamin Glazer, John S. Toldy"
1940,13,Writing (Screenplay),The Philadelphia Story,Donald Ogden Stewart
1941,14,Actor,Gary Cooper,Sergeant York
1941,14,Actor in a Supporting Role,Donald Crisp,How Green Was My Valley
1941,14,Actress,Joan Fontaine,Suspicion
1941,14,Actress in a Supporting Role,Mary Astor,The Great Lie
1941,14,Art Direction (Black and White),How Green Was My Valley,"Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little"
1941,14,Art Direction (Color),Blossoms in the Dust,"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis"
1941,14,Cinematography (Black and White),How Green Was My Valley,Arthur Miller
1941,14,Cinematography (Color),Blood and Sand,"Ernest Palmer, Ray Rennahan"
1941,14,Directing,How Green Was My Valley,John Ford
1941,14,Documentary (Short Subject),Churchill's Island,National Film Board of Canada
1941,14,Film Editing,Sergeant York,William Holmes
1941,14,Music (Music Score of a Dramatic Picture),All That Money Can Buy,Bernard Herrmann
1941,14,Music (Scoring of a Musical Picture),Dumbo,"Frank Churchill, Oliver Wallace"
1941,14,Music (Song),"""The Last Time I Saw Paris"" from Lady Be Good",Music by Jerome Kern; Lyrics by Oscar Hammerstein II
1941,14,Outstanding Motion Picture,How Green Was My Valley,20th Century-Fox
1941,14,Short Subject (Cartoon),Lend a Paw,"Walt Disney, Producer"
1941,14,Short Subject (One Reel),Of Pups and Puzzles,Metro-Goldwyn-Mayer
1941,14,Short Subject (Two Reel),Main Street on the March!,Metro-Goldwyn-Mayer
1941,14,Sound Recording,That Hamilton Woman,"General Service Sound Department, Jack Whitney, Sound Director"
1941,14,Special Effects,I Wanted Wings,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop"
1941,14,Writing (Original Screenplay),Citizen Kane,"Herman J. Mankiewicz, Orson Welles"
1941,14,Writing (Original Story),Here Comes Mr. Jordan,Harry Segall
1941,14,Writing (Screenplay),Here Comes Mr. Jordan,"Sidney Buchman, Seton I. Miller"
1941,14,Special Award,Rey Scott,Kukan
1941,14,Special Award,The British Ministry of Information,Target for Tonight
1941,14,Special Award,Leopold Stokowski and Associates,Fantasia
1941,14,Special Award,"Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company",Fantasia
1942,15,Actor,James Cagney,Yankee Doodle Dandy
1942,15,Actor in a Supporting Role,Van Heflin,Johnny Eager
1942,15,Actress,Greer Garson,Mrs. Miniver
1942,15,Actress in a Supporting Role,Teresa Wright,Mrs. Miniver
1942,15,Art Direction (Black and White),This above All,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
1942,15,Art Direction (Color),My Gal Sal,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
1942,15,Cinematography (Black and White),Mrs. Miniver,Joseph Ruttenberg
1942,15,Cinematography (Color),The Black Swan,Leon Shamroy
1942,15,Directing,Mrs. Miniver,William Wyler
1942,15,Documentary,The Battle of Midway,United States Navy
1942,15,Documentary,Kokoda Front Line!,Australian News & Information Bureau
1942,15,Documentary,Moscow Strikes Back,Artkino
1942,15,Documentary,Prelude to War,United States Army Special Services
1942,15,Film Editing,The Pride of the Yankees,Daniel Mandell
1942,15,Music (Music Score of a Dramatic or Comedy Picture),"Now, Voyager ",Max Steiner
1942,15,Music (Scoring of a Musical Picture),Yankee Doodle Dandy,"Ray Heindorf, Heinz Roemheld"
1942,15,Music (Song),"""White Christmas"" from Holiday Inn",Music and Lyrics by Irving Berlin
1942,15,Outstanding Motion Picture,Mrs. Miniver,Metro-Goldwyn-Mayer
1942,15,Short Subject (Cartoon),Der Fuehrer's Face,"Walt Disney, Producer"
1942,15,Short Subject (One Reel),Speaking of Animals and Their Families,Paramount
1942,15,Short Subject (Two Reel),Beyond the Line of Duty,Warner Brothers
1942,15,Sound Recording,Yankee Doodle Dandy,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1942,15,Special Effects,Reap the Wild Wind,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop"
1942,15,Writing (Original Motion Picture Story),The Invaders,Emeric Pressburger
1942,15,Writing (Original Screenplay),Woman of the Year,"Ring Lardner, Jr., Michael Kanin"
1942,15,Writing (Screenplay),Mrs. Miniver,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West"
1942,15,Special Award,Noel Coward,In Which We Serve
1942,15,Special Award,Metro-Goldwyn-Mayer,Andy Hardy
1943,16,Actor,Paul Lukas,Watch on the Rhine
1943,16,Actor in a Supporting Role,Charles Coburn,The More the Merrier
1943,16,Actress,Jennifer Jones,The Song of Bernadette
1943,16,Actress in a Supporting Role,Katina Paxinou,For Whom the Bell Tolls
1943,16,Art Direction (Black and White),The Song of Bernadette,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little"
1943,16,Art Direction (Color),Phantom of the Opera,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
1943,16,Cinematography (Black and White),The Song of Bernadette,Arthur Miller
1943,16,Cinematography (Color),Phantom of the Opera,"Hal Mohr, W. Howard Greene"
1943,16,Directing,Casablanca,Michael Curtiz
1943,16,Documentary (Feature),Desert Victory,British Ministry of Information
1943,16,Documentary (Short Subject),December 7th,United States Navy
1943,16,Film Editing,Air Force,George Amy
1943,16,Music (Music Score of a Dramatic or Comedy Picture),The Song of Bernadette,Alfred Newman
1943,16,Music (Scoring of a Musical Picture),This Is the Army,Ray Heindorf
1943,16,Music (Song),"""You'll Never Know"" from Hello, Frisco, Hello",Music by Harry Warren; Lyrics by Mack Gordon
1943,16,Outstanding Motion Picture,Casablanca,Warner Brothers
1943,16,Short Subject (Cartoon),Yankee Doodle Mouse,"Frederick Quimby, Producer"
1943,16,Short Subject (One Reel),Amphibious Fighters,"Grantland Rice, Producer"
1943,16,Short Subject (Two Reel),Heavenly Music,"Jerry Bresler and Sam Coslow, Producers"
1943,16,Sound Recording,This Land Is Mine,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
1943,16,Special Effects,Crash Dive,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
1943,16,Writing (Original Motion Picture Story),The Human Comedy,William Saroyan
1943,16,Writing (Original Screenplay),Princess O'Rourke,Norman Krasna
1943,16,Writing (Screenplay),Casablanca,"Julius J. Epstein, Philip G. Epstein, Howard Koch"
1944,17,Actor,Bing Crosby,Going My Way
1944,17,Actor in a Supporting Role,Barry Fitzgerald,Going My Way
1944,17,Actress,Ingrid Bergman,Gaslight
1944,17,Actress in a Supporting Role,Ethel Barrymore,None but the Lonely Heart
1944,17,Art Direction (Black and White),Gaslight,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky"
1944,17,Art Direction (Color),Wilson,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little
1944,17,Cinematography (Black and White),Laura,Joseph LaShelle
1944,17,Cinematography (Color),Wilson,Leon Shamroy
1944,17,Directing,Going My Way,Leo McCarey
1944,17,Documentary (Feature),The Fighting Lady,United States Navy
1944,17,Documentary (Short Subject),With the Marines at Tarawa,United States Marine Corps
1944,17,Film Editing,Wilson,Barbara McLean
1944,17,Music (Music Score of a Dramatic or Comedy Picture),Since You Went Away,Max Steiner
1944,17,Music (Scoring of a Musical Picture),Cover Girl,"Morris Stoloff, Carmen Dragon"
1944,17,Music (Song),"""Swinging On A Star"" from Going My Way",Music by James Van Heusen; Lyrics by Johnny Burke
1944,17,Best Motion Picture,Going My Way,Paramount
1944,17,Short Subject (Cartoon),Mouse Trouble,"Frederick C. Quimby, Producer"
1944,17,Short Subject (One Reel),Who's Who in Animal Land,"Jerry Fairbanks, Producer"
1944,17,Short Subject (Two Reel),I Won't Play,"Gordon Hollingshead, Producer"
1944,17,Sound Recording,Wilson,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1944,17,Special Effects,Thirty Seconds over Tokyo,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer"
1944,17,Writing (Original Motion Picture Story),Going My Way,Leo McCarey
1944,17,Writing (Original Screenplay),Wilson,Lamar Trotti
1944,17,Writing (Screenplay),Going My Way,"Frank Butler, Frank Cavett"
1945,18,Actor,Ray Milland,The Lost Weekend
1945,18,Actor in a Supporting Role,James Dunn,A Tree Grows in Brooklyn
1945,18,Actress,Joan Crawford,Mildred Pierce
1945,18,Actress in a Supporting Role,Anne Revere,National Velvet
1945,18,Art Direction (Black and White),Blood on the Sun,Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields
1945,18,Art Direction (Color),Frenchman's Creek,"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer"
1945,18,Cinematography (Black and White),The Picture of Dorian Gray,Harry Stradling
1945,18,Cinematography (Color),Leave Her to Heaven,Leon Shamroy
1945,18,Directing,The Lost Weekend,Billy Wilder
1945,18,Documentary (Feature),The True Glory,The Governments of Great Britain and the United States of America
1945,18,Documentary (Short Subject),Hitler Lives?,"Gordon Hollingshead, Producer"
1945,18,Film Editing,National Velvet,Robert J. Kern
1945,18,Music (Music Score of a Dramatic or Comedy Picture),Spellbound,Miklos Rozsa
1945,18,Music (Scoring of a Musical Picture),Anchors Aweigh,Georgie Stoll
1945,18,Music (Song),"""It Might As Well Be Spring"" from State Fair",Music by Richard Rodgers; Lyrics by Oscar Hammerstein II
1945,18,Best Motion Picture,The Lost Weekend,Paramount
1945,18,Short Subject (Cartoon),Quiet Please!,"Frederick Quimby, Producer"
1945,18,Short Subject (One Reel),Stairway to Light,"Herbert Moulton, Producer; Jerry Bresler, Executive Producer"
1945,18,Short Subject (Two Reel),Star in the Night,"Gordon Hollingshead, Producer"
1945,18,Sound Recording,The Bells of St. Mary's,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
1945,18,Special Effects,Wonder Man,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns
1945,18,Writing (Original Motion Picture Story),The House on 92nd Street,Charles G. Booth
1945,18,Writing (Original Screenplay),Marie-Louise,Richard Schweizer
1945,18,Writing (Screenplay),The Lost Weekend,"Charles Brackett, Billy Wilder"
1946,19,Actor,Fredric March,The Best Years of Our Lives
1946,19,Actor in a Supporting Role,Harold Russell,The Best Years of Our Lives
1946,19,Actress,Olivia de Havilland,To Each His Own
1946,19,Actress in a Supporting Role,Anne Baxter,The Razor's Edge
1946,19,Art Direction (Black and White),Anna and the King of Siam,"Art Direction: Lyle Wheeler, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes"
1946,19,Art Direction (Color),The Yearling,"Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis"
1946,19,Cinematography (Black and White),Anna and the King of Siam,Arthur Miller
1946,19,Cinematography (Color),The Yearling,"Charles Rosher, Leonard Smith, Arthur Arling"
1946,19,Directing,The Best Years of Our Lives,William Wyler
1946,19,Documentary (Short Subject),Seeds of Destiny,United States Department of War
1946,19,Film Editing,The Best Years of Our Lives,Daniel Mandell
1946,19,Music (Music Score of a Dramatic or Comedy Picture),The Best Years of Our Lives,Hugo Friedhofer
1946,19,Music (Scoring of a Musical Picture),The Jolson Story,Morris Stoloff
1946,19,Music (Song),"""On The Atchison, Topeka And The Santa Fe"" from The Harvey Girls",Music by Harry Warren; Lyrics by Johnny Mercer
1946,19,Best Motion Picture,The Best Years of Our Lives,Samuel Goldwyn Productions
1946,19,Short Subject (Cartoon),The Cat Concerto,"Frederick Quimby, Producer"
1946,19,Short Subject (One Reel),Facing Your Danger,"Gordon Hollingshead, Producer"
1946,19,Short Subject (Two Reel),A Boy and His Dog,"Gordon Hollingshead, Producer"
1946,19,Sound Recording,The Jolson Story,"Columbia Studio Sound Department, John Livadary, Sound Director"
1946,19,Special Effects,Blithe Spirit,Special Visual Effects by Thomas Howard
1946,19,Writing (Original Motion Picture Story),Vacation from Marriage,Clemence Dane
1946,19,Writing (Original Screenplay),The Seventh Veil,"Muriel Box, Sydney Box"
1946,19,Writing (Screenplay),The Best Years of Our Lives,Robert E. Sherwood
1946,19,Special Award,Laurence Olivier,Henry V
1946,19,Special Award,Harold Russell,The Best Years of Our Lives
1947,20,Actor,Ronald Colman,A Double Life
1947,20,Actor in a Supporting Role,Edmund Gwenn,Miracle on 34th Street
1947,20,Actress,Loretta Young,The Farmer's Daughter
1947,20,Actress in a Supporting Role,Celeste Holm,Gentleman's Agreement
1947,20,Art Direction (Black and White),Great Expectations,Art Direction: John Bryan; Set Decoration: Wilfred Shingleton
1947,20,Art Direction (Color),Black Narcissus,Art Direction: Alfred Junge; Set Decoration: Alfred Junge
1947,20,Cinematography (Black and White),Great Expectations,Guy Green
1947,20,Cinematography (Color),Black Narcissus,Jack Cardiff
1947,20,Directing,Gentleman's Agreement,Elia Kazan
1947,20,Documentary (Feature),Design for Death,"Sid Rogell, Executive Producer; Theron Warth and Richard O. Fleischer, Producers"
1947,20,Documentary (Short Subject),First Steps,United Nations Division of Films and Visual Information
1947,20,Film Editing,Body and Soul,"Francis Lyon, Robert Parrish"
1947,20,Music (Music Score of a Dramatic or Comedy Picture),A Double Life,Dr. Miklos Rozsa
1947,20,Music (Scoring of a Musical Picture),Mother Wore Tights,Alfred Newman
