geoid,geoname,precio,fecha
8745,Melilla,246.16416666666666,2021-09-30
8741,Península,280.18083333333334,2021-10-01
8742,Canarias,280.18083333333334,2021-10-01
8743,Baleares,280.18083333333334,2021-10-01
8744,Ceuta,280.21166666666664,2021-10-01
8745,Melilla,280.21166666666664,2021-10-01
8741,Península,218.40125,2021-10-02
8742,Canarias,218.40125,2021-10-02
8743,Baleares,218.40125,2021-10-02
8744,Ceuta,218.40125,2021-10-02
8745,Melilla,218.40125,2021-10-02
8741,Península,151.85375,2021-10-03
8742,Canarias,151.85375,2021-10-03
8743,Baleares,151.85375,2021-10-03
8744,Ceuta,151.85375,2021-10-03
8745,Melilla,151.85375,2021-10-03
8741,Península,249.74458333333334,2021-10-04
8742,Canarias,249.74458333333334,2021-10-04
8743,Baleares,249.74458333333334,2021-10-04
8744,Ceuta,249.75208333333333,2021-10-04
8745,Melilla,249.75208333333333,2021-10-04
8741,Península,269.26208333333335,2021-10-05
8742,Canarias,269.26208333333335,2021-10-05
8743,Baleares,269.26208333333335,2021-10-05
8744,Ceuta,269.2875,2021-10-05
8745,Melilla,269.2875,2021-10-05
8741,Península,297.51416666666665,2021-10-06
8742,Canarias,297.51416666666665,2021-10-06
8743,Baleares,297.51416666666665,2021-10-06
8744,Ceuta,297.5325,2021-10-06
8745,Melilla,297.5325,2021-10-06
8741,Península,367.83916666666664,2021-10-07
8742,Canarias,367.83916666666664,2021-10-07
8743,Baleares,367.83916666666664,2021-10-07
8744,Ceuta,367.87833333333333,2021-10-07
8745,Melilla,367.87833333333333,2021-10-07
8741,Península,296.8183333333333,2021-10-08
8742,Canarias,296.8183333333333,2021-10-08
8743,Baleares,296.8183333333333,2021-10-08
8744,Ceuta,296.84541666666667,2021-10-08
8745,Melilla,296.84541666666667,2021-10-08
8741,Península,275.92375,2021-10-09
